Continent,Region,Country,Country Code,Year,CRIMINALITY,CRIMINAL MARKETS,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,CRIMINAL ACTORS,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,RESILIENCE,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors,,
Africa,Southern Africa,Malawi,MWI,2021,3.83,4.15,4.5,3.5,4.5,4.0,6.0,4.0,4.5,2.5,6.0,2.0,3.50,2.0,3.0,4.0,5.0,4.29,5.0,4.5,4.5,5.5,4.0,4.0,3.0,6.0,4.0,2.0,3.5,5.5,,
Africa,West Africa,Mali,MLI,2021,5.89,6.15,7.0,6.0,8.0,5.0,5.5,7.5,3.0,6.0,7.0,6.5,5.63,3.0,7.0,8.5,4.0,2.38,2.0,3.0,4.0,2.5,2.5,2.0,1.5,2.5,2.0,1.5,2.0,3.0,,
Africa,North Africa,Mauritania,MRT,2021,4.38,4.00,7.5,6.0,4.0,1.0,3.5,3.5,1.5,4.5,6.5,2.0,4.75,2.5,4.5,7.0,5.0,3.08,4.0,3.5,3.0,3.5,2.5,3.0,4.5,4.0,3.0,1.5,2.0,2.5,,
Africa,Southern Africa,Mauritius,MUS,2021,4.51,4.40,4.5,3.5,2.0,2.0,3.0,4.0,8.0,3.5,5.5,8.0,4.63,2.0,6.0,6.0,4.5,5.67,6.0,6.0,6.5,6.0,5.5,5.5,5.5,3.5,7.0,5.5,5.0,6.0,,
Africa,North Africa,Morocco,MAR,2021,4.79,4.95,5.5,6.5,3.0,3.0,4.5,3.0,3.0,6.0,9.0,6.0,4.63,1.0,6.5,7.0,4.0,4.63,4.5,3.5,6.0,6.0,4.0,5.5,6.0,3.5,4.5,4.5,4.0,3.5,,
Africa,Southern Africa,Mozambique,MOZ,2021,6.53,6.05,4.0,5.0,5.5,8.0,8.0,8.0,7.5,3.5,4.0,7.0,7.00,3.5,8.0,9.0,7.5,3.29,3.0,3.5,5.0,5.5,2.0,2.0,3.5,3.0,4.0,3.0,2.0,3.0,,
Africa,Southern Africa,Namibia,NAM,2021,4.33,3.90,3.5,2.5,3.0,6.5,4.5,4.0,3.0,4.5,3.0,4.5,4.75,3.0,5.0,5.0,6.0,4.96,5.0,5.0,7.0,6.5,4.5,4.5,3.5,4.5,5.0,4.0,4.0,6.0,,
Africa,West Africa,Niger,NER,2021,6.01,5.90,7.0,7.0,8.0,2.0,4.5,7.5,3.0,6.0,7.0,7.0,6.13,4.0,7.0,8.5,5.0,3.21,3.5,2.5,5.5,4.0,2.5,4.0,4.0,3.0,3.0,2.0,2.0,2.5,,
Africa,West Africa,Nigeria,NGA,2021,7.15,7.05,7.5,6.0,8.0,6.0,6.5,8.0,6.0,6.5,8.0,8.0,7.25,5.5,9.0,7.5,7.0,5.50,5.5,5.0,7.0,7.0,4.5,4.5,4.5,5.0,6.5,5.0,5.0,6.5,,
Africa,Central Africa,Rwanda,RWA,2021,3.68,4.10,5.0,2.5,5.0,3.0,5.0,8.0,3.0,2.5,4.0,3.0,3.25,1.0,3.0,5.0,4.0,5.50,5.5,5.5,5.0,6.0,5.0,7.0,6.0,6.0,6.0,5.5,5.0,3.5,,
Africa,Central Africa,São Tomé and Príncipe,STP,2021,1.78,1.80,1.5,1.5,2.0,2.5,2.0,1.0,2.0,2.0,2.5,1.0,1.75,1.0,2.0,2.0,2.0,4.92,6.0,5.0,7.0,7.0,6.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,,
Africa,West Africa,Senegal,SEN,2021,4.81,5.00,5.0,5.0,4.5,7.5,7.0,3.5,2.5,6.5,6.0,2.5,4.63,2.5,5.5,4.5,6.0,5.58,5.5,4.0,6.0,6.5,5.0,6.0,6.5,5.0,5.5,5.0,5.0,7.0,,
Africa,Southern Africa,Seychelles,SYC,2021,3.68,3.60,4.0,3.5,3.5,4.0,4.0,1.0,7.5,3.0,3.0,2.5,3.75,2.0,4.5,4.5,4.0,4.58,5.0,5.0,6.0,5.5,6.0,4.0,4.5,3.0,3.0,4.0,5.0,4.0,,
Africa,West Africa,Sierra Leone,SLE,2021,5.40,5.05,5.0,4.0,3.5,6.5,6.5,6.5,2.0,4.5,7.0,5.0,5.75,3.5,5.5,7.0,7.0,3.46,3.5,3.5,4.0,2.5,2.0,4.0,4.0,3.5,3.0,2.5,4.0,5.0,,
Africa,East Africa,Somalia,SOM,2021,5.79,4.45,8.0,7.5,8.5,6.0,4.5,2.0,2.0,2.0,2.0,2.0,7.13,9.5,7.5,7.0,4.5,1.67,1.0,1.0,2.0,2.0,2.0,1.5,1.5,2.5,1.5,1.0,1.5,2.5,,
Africa,Southern Africa,South Africa,ZAF,2021,6.63,6.00,4.5,4.0,8.0,3.5,7.5,7.5,7.5,5.5,3.5,8.5,7.25,7.0,7.0,7.5,7.5,5.79,6.0,5.5,6.5,6.5,6.0,5.0,6.0,6.0,6.0,4.0,5.0,7.0,,
Africa,East Africa,South Sudan,SSD,2021,6.34,5.30,8.5,5.5,8.0,7.5,7.0,8.0,2.0,1.5,4.0,1.0,7.38,4.5,8.0,9.0,8.0,1.83,2.0,1.0,2.0,3.0,2.0,2.0,1.5,1.5,2.5,1.0,1.5,2.0,,
Africa,East Africa,Sudan,SDN,2021,6.46,5.55,8.0,7.5,8.5,1.5,5.5,7.5,2.0,2.5,8.0,4.5,7.38,6.5,7.5,8.0,7.5,2.96,3.0,2.0,5.0,4.5,3.5,3.5,2.5,4.0,2.5,1.0,2.0,2.0,,
Africa,East Africa,Tanzania,TZA,2021,6.15,6.55,6.5,6.5,5.5,7.5,8.0,6.5,7.5,5.0,7.0,5.5,5.75,3.0,7.0,7.0,6.0,4.04,5.5,2.0,4.0,5.5,5.0,4.0,4.5,5.5,5.0,3.0,3.0,1.5,,
Africa,West Africa,Togo,TGO,2021,5.33,4.90,6.0,3.5,4.0,5.0,6.0,6.0,3.0,5.0,6.5,4.0,5.75,1.0,7.0,7.5,7.5,4.00,3.0,3.0,5.5,4.5,3.5,4.0,4.0,3.0,4.5,4.5,4.0,4.5,,
Africa,North Africa,Tunisia,TUN,2021,3.79,4.20,4.0,7.0,5.0,3.5,3.5,5.0,2.0,3.0,5.0,4.0,3.38,1.0,4.0,5.5,3.0,4.83,4.5,5.0,5.0,6.5,4.5,4.5,5.5,5.5,4.0,4.5,3.0,5.5,,
Africa,East Africa,Uganda,UGA,2021,6.14,5.65,7.0,5.0,6.5,6.0,6.5,7.0,5.0,3.5,6.0,4.0,6.63,5.0,7.0,7.5,7.0,3.96,5.0,2.0,5.0,5.0,4.0,4.0,5.5,3.0,3.5,2.0,4.0,4.5,,
Africa,Southern Africa,Zambia,ZMB,2021,4.93,4.60,5.0,3.0,4.0,8.0,4.5,5.5,4.0,3.0,5.0,4.0,5.25,3.0,5.0,6.0,7.0,4.33,4.0,3.0,5.0,6.5,5.0,4.0,3.5,5.0,5.0,3.0,3.0,5.0,,
Africa,Southern Africa,Zimbabwe,ZWE,2021,5.66,5.20,5.5,3.5,4.0,5.5,7.5,8.0,4.0,3.0,6.0,5.0,6.13,3.5,7.5,8.0,5.5,3.17,2.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
