Continent,Region,Country3,Country Code,Year,Criminality Score,Criminal Markets Score,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drugs trade,Criminal Actors Score,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience Score,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,Southern Africa,Malawi,MWI,2019,3.88,4.00,4.5,3.0,4.0,4.0,6.5,4.0,4.0,2.5,6.0,1.5,3.75,2.0,3.5,4.5,5.0,4.38,5.0,4.5,4.5,5.5,5.0,4.5,2.5,6.0,4.0,2.0,3.0,6.0
Africa,West Africa,Mali,MLI,2019,6.20,5.90,6.0,6.5,6.5,6.5,5.5,7.5,3.5,6.0,5.0,6.0,6.50,5.5,7.5,9.0,4.0,2.63,1.5,3.0,4.0,2.5,2.5,2.0,2.0,2.5,3.0,1.5,2.0,5.0
Africa,North Africa,Mauritania,MRT,2019,4.60,3.70,7.0,4.5,3.5,1.0,3.0,3.0,1.5,5.0,6.0,2.5,5.50,6.0,4.0,7.0,5.0,2.67,3.0,2.0,3.5,3.5,2.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0
Africa,Southern Africa,Mauritius,MUS,2019,4.16,3.95,2.5,3.5,2.0,2.0,3.5,3.0,8.0,2.5,5.5,7.0,4.38,2.0,5.5,6.0,4.0,6.42,6.5,6.5,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0,7.0
Africa,North Africa,Morocco,MAR,2019,4.88,4.50,4.0,6.0,1.5,2.5,4.5,3.0,2.5,6.0,9.0,6.0,5.25,1.0,6.5,7.5,6.0,6.33,5.5,6.0,7.0,7.0,7.0,7.5,6.5,6.0,5.5,6.0,6.0,6.0
Africa,Southern Africa,Mozambique,MOZ,2019,5.86,5.35,5.0,4.5,4.0,8.5,7.5,6.0,7.5,2.5,4.5,3.5,6.38,3.5,6.5,8.0,7.5,2.83,2.5,2.0,2.0,5.5,2.5,2.0,5.0,2.0,4.0,1.0,2.0,3.5
Africa,Southern Africa,Namibia,NAM,2019,3.81,3.50,3.0,2.5,3.0,6.0,5.5,4.5,3.0,2.0,2.5,3.0,4.13,2.5,4.5,3.5,6.0,5.04,5.5,6.0,6.5,6.0,4.5,4.5,3.5,4.5,6.5,4.0,3.0,6.0
Africa,West Africa,Niger,NER,2019,5.74,5.35,6.5,7.0,8.0,2.0,2.5,6.5,4.0,5.0,6.0,6.0,6.13,2.0,7.0,8.5,7.0,3.54,4.0,4.0,5.0,5.5,2.5,4.5,3.0,3.0,3.0,2.0,2.0,4.0
Africa,West Africa,Nigeria,NGA,2019,7.70,7.65,8.5,7.0,7.5,7.0,8.0,9.0,6.5,6.5,8.0,8.5,7.75,6.0,9.5,8.0,7.5,5.67,5.5,5.5,6.5,8.0,4.0,6.0,5.0,6.0,6.0,4.0,5.0,6.5
Africa,Central Africa,Rwanda,RWA,2019,3.34,3.80,5.0,3.0,4.5,3.0,5.0,6.0,3.0,1.5,4.0,3.0,2.88,1.0,2.5,5.0,3.0,5.75,6.5,6.0,6.0,6.5,5.0,7.0,7.5,6.0,6.0,5.5,5.0,2.0
Africa,Central Africa,São Tomé and Príncipe,STP,2019,1.88,2.00,1.5,3.0,3.0,2.0,2.0,1.0,1.5,1.5,3.0,1.5,1.75,1.0,2.5,1.0,2.5,3.79,4.0,3.0,6.0,6.5,5.0,5.0,4.0,3.0,3.0,1.0,1.0,4.0
